,index,ID,Para,Claim,Evidence,Label,Explanation
151,174,175,"Hoa hay bông, bông hoa là bộ phận chứa cơ quan sinh sản, đặc trưng của thực vật có hoa, cụ thể là một chồi rút ngắn mang những lá biến đổi làm chức năng sinh sản của cây. Về mặt cấu trúc thực vật học, hoa là một dạng cành đặc biệt. Hoa có thể tạo điều kiện thụ phấn chéo (kết hợp của phấn hoa và nhụy từ các cây hoa khác nhau) hoặc cho phép tự thụ phấn (kết hợp của phấn hoa và nhụy từ cùng một hoa). Hoa tạo ra quả và hạt. Nhiều hoa đã tiến hóa để hấp dẫn đối với động vật, nhằm mục đích nhờ động vật giúp đỡ việc chuyển giao hạt phấn. Hoa có hai loại cơ bản là hoa đơn tính (chỉ có nhụy hoặc nhị) và hoa lưỡng tính (có cả nhị và nhụy). 
Cấu tạo đầy đủ lý tưởng của hoa bao gồm: cuống hoa, lá bắc, đài hoa (lá đài), tràng hoa (cánh hoa), bộ nhị và bộ nhụy. 
Ngoài chức năng chứa cơ quan sinh sản ở thực vật có hoa, hoa còn được con người trồng và khai thác nhằm mục đích trang trí, làm đẹp và thậm chí là nguồn cung cấp thức ăn, dược liệu. ","Một bông hoa thường có cấu tạo chứa một số bộ phận như đài hoa và tràng hoa; hoa có nhiều công dụng khác nhau, trong đó có trang trí, làm đẹp và thậm chí là dùng làm phân bón cho cây.","Cấu tạo đầy đủ lý tưởng của hoa bao gồm: cuống hoa, lá bắc, đài hoa (lá đài), tràng hoa (cánh hoa), bộ nhị và bộ nhụy. Ngoài chức năng chứa cơ quan sinh sản ở thực vật có hoa, hoa còn được con người trồng và khai thác nhằm mục đích trang trí, làm đẹp và thậm chí là nguồn cung cấp thức ăn, dược liệu.",NEI,"Mặc dù hoa có thể được dùng để trang trí và làm đẹp, tuy nhiên chưa có thông tin nào về việc sử dụng hoa để làm phân bón cho cây."
152,175,176,"Hoa hay bông, bông hoa là bộ phận chứa cơ quan sinh sản, đặc trưng của thực vật có hoa, cụ thể là một chồi rút ngắn mang những lá biến đổi làm chức năng sinh sản của cây. Về mặt cấu trúc thực vật học, hoa là một dạng cành đặc biệt. Hoa có thể tạo điều kiện thụ phấn chéo (kết hợp của phấn hoa và nhụy từ các cây hoa khác nhau) hoặc cho phép tự thụ phấn (kết hợp của phấn hoa và nhụy từ cùng một hoa). Hoa tạo ra quả và hạt. Nhiều hoa đã tiến hóa để hấp dẫn đối với động vật, nhằm mục đích nhờ động vật giúp đỡ việc chuyển giao hạt phấn. Hoa có hai loại cơ bản là hoa đơn tính (chỉ có nhụy hoặc nhị) và hoa lưỡng tính (có cả nhị và nhụy). 
Cấu tạo đầy đủ lý tưởng của hoa bao gồm: cuống hoa, lá bắc, đài hoa (lá đài), tràng hoa (cánh hoa), bộ nhị và bộ nhụy. 
Ngoài chức năng chứa cơ quan sinh sản ở thực vật có hoa, hoa còn được con người trồng và khai thác nhằm mục đích trang trí, làm đẹp và thậm chí là nguồn cung cấp thức ăn, dược liệu. ","Hoa là một bộ phận đảm nhiệm chức năng sinh sản cho cây, hoa thường phát triển thành quả và hạt sau vài tháng.","Hoa hay bông, bông hoa là bộ phận chứa cơ quan sinh sản, đặc trưng của thực vật có hoa, cụ thể là một chồi rút ngắn mang những lá biến đổi làm chức năng sinh sản của cây. Hoa tạo ra quả và hạt. Nhiều hoa đã tiến hóa để hấp dẫn đối với động vật, nhằm mục đích nhờ động vật giúp đỡ việc chuyển giao hạt phấn.",SUP,"Hoa, hay bông hoa, là bộ phận chứa cơ quan sinh sản đặc trưng của thực vật có hoa, thường là một chồi rút ngắn mang lá biến đổi chức năng sinh sản của cây, nó chịu trách nhiệm tạo ra quả và hạt cho cây nhằm duy trì nòi giống."
153,176,177,"Hoa hay bông, bông hoa là bộ phận chứa cơ quan sinh sản, đặc trưng của thực vật có hoa, cụ thể là một chồi rút ngắn mang những lá biến đổi làm chức năng sinh sản của cây. Về mặt cấu trúc thực vật học, hoa là một dạng cành đặc biệt. Hoa có thể tạo điều kiện thụ phấn chéo (kết hợp của phấn hoa và nhụy từ các cây hoa khác nhau) hoặc cho phép tự thụ phấn (kết hợp của phấn hoa và nhụy từ cùng một hoa). Hoa tạo ra quả và hạt. Nhiều hoa đã tiến hóa để hấp dẫn đối với động vật, nhằm mục đích nhờ động vật giúp đỡ việc chuyển giao hạt phấn. Hoa có hai loại cơ bản là hoa đơn tính (chỉ có nhụy hoặc nhị) và hoa lưỡng tính (có cả nhị và nhụy). 
Cấu tạo đầy đủ lý tưởng của hoa bao gồm: cuống hoa, lá bắc, đài hoa (lá đài), tràng hoa (cánh hoa), bộ nhị và bộ nhụy. 
Ngoài chức năng chứa cơ quan sinh sản ở thực vật có hoa, hoa còn được con người trồng và khai thác nhằm mục đích trang trí, làm đẹp và thậm chí là nguồn cung cấp thức ăn, dược liệu. ",Cấu tạo của hoa không bao gồm cuống hoa; hiện nay một số loài hoa đã tiến hóa để có thể duy trì nòi giống tốt hơn bằng việc hấp dẫn côn trùng đến thụ phấn cho cây.,"Nhiều hoa đã tiến hóa để hấp dẫn đối với động vật, nhằm mục đích nhờ động vật giúp đỡ việc chuyển giao hạt phấn. Cấu tạo đầy đủ lý tưởng của hoa bao gồm: cuống hoa, lá bắc, đài hoa (lá đài), tràng hoa (cánh hoa), bộ nhị và bộ nhụy.",REF,Cấu tạo của hoa thực sự có bao gồm bộ phận cuống hoa.
154,177,178,"Hoa hòe hay cây hòe (danh pháp: Styphnolobium japonicum (L. ) Schott, syn. Sophora japonica) là loài thực vật thuộc họ Đậu. 
Hoa hòe là cây bản địa Đông Á (chủ yếu là Trung Quốc; và như tên gọi Latin, nó được di thực đến Nhật Bản). Tại Việt Nam hòe được trồng làm cảnh và dùng làm thuốc. Thường dùng hoa hòe và quả hòe
Hoa hòe dùng làm thuốc gây sẩy thai, kháng khuẩn, giảm cholesterol, kháng viêm, chống co thắt, lợi tiểu, giải nhiệt, hạ huyết áp... . ","Cây hòe có tên khoa học là Styphnolobium japonicum, loài cây này thường được dùng nhiều trong y học như làm thuốc kháng khuẩn, kháng viêm cũng như thuốc giải nhiệt và thuốc hạ huyết áp.","Hoa hòe hay cây hòe (danh pháp: Styphnolobium japonicum (L. ) Schott, syn. Thường dùng hoa hòe và quả hòe
Hoa hòe dùng làm thuốc gây sẩy thai, kháng khuẩn, giảm cholesterol, kháng viêm, chống co thắt, lợi tiểu, giải nhiệt, hạ huyết áp... .",SUP,"Hoa hòe, hay còn gọi là cây hòe (Styphnolobium japonicum), được sử dụng trong y học với nhiều ứng dụng khác nhau. Cây này có tính chất gây sẩy thai, kháng khuẩn, giảm cholesterol, chống viêm, chống co thắt, lợi tiểu, giải nhiệt, và hạ huyết áp."
155,178,179,"Hoa hòe hay cây hòe (danh pháp: Styphnolobium japonicum (L. ) Schott, syn. Sophora japonica) là loài thực vật thuộc họ Đậu. 
Hoa hòe là cây bản địa Đông Á (chủ yếu là Trung Quốc; và như tên gọi Latin, nó được di thực đến Nhật Bản). Tại Việt Nam hòe được trồng làm cảnh và dùng làm thuốc. Thường dùng hoa hòe và quả hòe
Hoa hòe dùng làm thuốc gây sẩy thai, kháng khuẩn, giảm cholesterol, kháng viêm, chống co thắt, lợi tiểu, giải nhiệt, hạ huyết áp... . ","Hoa hòe là loài cây có nguồn gốc từ Đông Á và Nam Á, cây thường cao từ 1 đến 2 mét và có nhiều ứng dụng trong y học như điều chế thuốc giải nhiệt, hạ huyết áp,…","Hoa hòe là cây bản địa Đông Á (chủ yếu là Trung Quốc; và như tên gọi Latin, nó được di thực đến Nhật Bản). Thường dùng hoa hòe và quả hòe
Hoa hòe dùng làm thuốc gây sẩy thai, kháng khuẩn, giảm cholesterol, kháng viêm, chống co thắt, lợi tiểu, giải nhiệt, hạ huyết áp... .",NEI,Không có thông tin cụ thể về chiều cao của cây hoa hòe.
156,179,180,"Hoa hòe hay cây hòe (danh pháp: Styphnolobium japonicum (L. ) Schott, syn. Sophora japonica) là loài thực vật thuộc họ Đậu. 
Hoa hòe là cây bản địa Đông Á (chủ yếu là Trung Quốc; và như tên gọi Latin, nó được di thực đến Nhật Bản). Tại Việt Nam hòe được trồng làm cảnh và dùng làm thuốc. Thường dùng hoa hòe và quả hòe
Hoa hòe dùng làm thuốc gây sẩy thai, kháng khuẩn, giảm cholesterol, kháng viêm, chống co thắt, lợi tiểu, giải nhiệt, hạ huyết áp... . ",Cây hòe là loài cây thuộc họ Vừng và thường được trồng để làm thuốc ở Việt Nam; cây này là loài cây bản địa ở khu vực Đông Á và được con người di thực qua Nhật Bản.,"Hoa hòe hay cây hòe (danh pháp: Styphnolobium japonicum (L. ) Schott, syn. Sophora japonica) là loài thực vật thuộc họ Đậu. Hoa hòe là cây bản địa Đông Á (chủ yếu là Trung Quốc; và như tên gọi Latin, nó được di thực đến Nhật Bản). Tại Việt Nam hòe được trồng làm cảnh và dùng làm thuốc.",REF,"Cây hòe là loài cây thuộc họ Đậu, không phải họ Vừng."
157,180,181,Hoa hậu Albania được tồ chức lần đầu năm 1991. Người chiến thắng cuộc thi này sẽ tham dự Hoa hậu Hoàn vũ và Hoa hậu Thế giới,"Cuộc thi hoa hậu Albania được tổ chức lần đầu tiên vào năm 1990, người đạt giải nhất cuộc thi sẽ được quyền tham gia cuộc thi Hoa hậu Hoàn vũ và Hoa hậu thế giới.",Hoa hậu Albania được tồ chức lần đầu năm 1991. Người chiến thắng cuộc thi này sẽ tham dự Hoa hậu Hoàn vũ và Hoa hậu Thế giới.,REF,"Cuộc thi hoa hậu Albania được tổ chức lần đầu tiên vào năm 1991, không phải năm 1990."
158,183,184,"Hoa hậu Biển Đảo Việt Nam (Tiếng Anh: Miss Sea Islands Vietnam), tên cũ là Hoa hậu Biển Việt Nam (Tiếng Anh: Miss Sea Vietnam) và Hoa hậu Biển Việt Nam Toàn cầu (Tiếng Anh: Miss Sea Vietnam Global) là một cuộc thi sắc đẹp mới tại Việt Nam nhằm tôn vinh vẻ đẹp người phụ nữ Việt Nam gắn với hình ảnh thiên nhiên của biển đảo quê hương và chọn ra gương mặt đại diện cho vẻ đẹp biển đảo Việt Nam, cổ vũ lòng yêu nước và truyền cảm hứng đến muôn triệu người Việt. 
Đương kim Hoa hậu Biển Đảo Việt Nam 2022 là Đinh Như Phương đến từ Quảng Bình, Á hậu 1 là Hoàng Thùy Anh đến từ Hà Nội, Á hậu 2 là Nguyễn Thu Hằng, đến từ Lạng Sơn. 
Sáng ngày 20 tháng 4 năm 2016, ông Lý Minh Tuấn, Trưởng Ban tổ chức công bố cuộc thi Hoa hậu Biển Việt Nam 2016. Cuộc thi được Bộ Văn hóa, Thể thao và Du lịch cấp giấy phép và do Công ty Cổ phần Thiết kế và Đào tạo Phương Nam phối hợp với UBND tỉnh Quảng Ninh và Báo điện tử VTV tổ chức. Tối ngày 21 tháng 5 năm 2016, đên chung kết diễn ra với chiến thắng thuộc về cô Phạm Thùy Trang, 21 tuổi, đến từ Hòa Bình. ","Cuộc thi sắc đẹp tên ""Hoa hậu Biển Đảo Việt Nam"" được tạo ra nhằm mục đích tôn vinh các phẩm chất đẹp đẽ của người phụ nữ Việt Nam gắn liền với tình yêu quê hương biển đảo Tổ Quốc.","Hoa hậu Biển Đảo Việt Nam (Tiếng Anh: Miss Sea Islands Vietnam), tên cũ là Hoa hậu Biển Việt Nam (Tiếng Anh: Miss Sea Vietnam) và Hoa hậu Biển Việt Nam Toàn cầu (Tiếng Anh: Miss Sea Vietnam Global) là một cuộc thi sắc đẹp mới tại Việt Nam nhằm tôn vinh vẻ đẹp người phụ nữ Việt Nam gắn với hình ảnh thiên nhiên của biển đảo quê hương và chọn ra gương mặt đại diện cho vẻ đẹp biển đảo Việt Nam, cổ vũ lòng yêu nước và truyền cảm hứng đến muôn triệu người Việt.",SUP,"Theo thông tin được biết: Hoa hậu Biển Đảo Việt Nam, trước đây có tên là Hoa hậu Biển Việt Nam và Hoa hậu Biển Việt Nam Toàn cầu, là một cuộc thi sắc đẹp mới tại Việt Nam, nhằm vinh danh vẻ đẹp của phụ nữ Việt Nam. Cuộc thi nhấn mạnh việc chọn ra đại diện thể hiện vẻ đẹp đặc trưng của biển đảo Việt Nam, đồng thời khuyến khích tình yêu quê hương và truyền cảm hứng cho người dân Việt Nam."
159,184,185,"Hoa hậu Biển Đảo Việt Nam (Tiếng Anh: Miss Sea Islands Vietnam), tên cũ là Hoa hậu Biển Việt Nam (Tiếng Anh: Miss Sea Vietnam) và Hoa hậu Biển Việt Nam Toàn cầu (Tiếng Anh: Miss Sea Vietnam Global) là một cuộc thi sắc đẹp mới tại Việt Nam nhằm tôn vinh vẻ đẹp người phụ nữ Việt Nam gắn với hình ảnh thiên nhiên của biển đảo quê hương và chọn ra gương mặt đại diện cho vẻ đẹp biển đảo Việt Nam, cổ vũ lòng yêu nước và truyền cảm hứng đến muôn triệu người Việt. 
Đương kim Hoa hậu Biển Đảo Việt Nam 2022 là Đinh Như Phương đến từ Quảng Bình, Á hậu 1 là Hoàng Thùy Anh đến từ Hà Nội, Á hậu 2 là Nguyễn Thu Hằng, đến từ Lạng Sơn. 
Sáng ngày 20 tháng 4 năm 2016, ông Lý Minh Tuấn, Trưởng Ban tổ chức công bố cuộc thi Hoa hậu Biển Việt Nam 2016. Cuộc thi được Bộ Văn hóa, Thể thao và Du lịch cấp giấy phép và do Công ty Cổ phần Thiết kế và Đào tạo Phương Nam phối hợp với UBND tỉnh Quảng Ninh và Báo điện tử VTV tổ chức. Tối ngày 21 tháng 5 năm 2016, đên chung kết diễn ra với chiến thắng thuộc về cô Phạm Thùy Trang, 21 tuổi, đến từ Hòa Bình. ","Mis Sea Islands VietNam là một cuộc thi sắc đẹp ở Trung Quốc sinh ra nhằm vinh danh những phẩm chất cao đẹp của người phụ nữ Việt Nam; năm 2022, người đã giành giải đương kim của cuộc thi này tên là Đinh Như Phương.","Hoa hậu Biển Đảo Việt Nam (Tiếng Anh: Miss Sea Islands Vietnam), tên cũ là Hoa hậu Biển Việt Nam (Tiếng Anh: Miss Sea Vietnam) và Hoa hậu Biển Việt Nam Toàn cầu (Tiếng Anh: Miss Sea Vietnam Global) là một cuộc thi sắc đẹp mới tại Việt Nam nhằm tôn vinh vẻ đẹp người phụ nữ Việt Nam gắn với hình ảnh thiên nhiên của biển đảo quê hương và chọn ra gương mặt đại diện cho vẻ đẹp biển đảo Việt Nam, cổ vũ lòng yêu nước và truyền cảm hứng đến muôn triệu người Việt. Đương kim Hoa hậu Biển Đảo Việt Nam 2022 là Đinh Như Phương đến từ Quảng Bình, Á hậu 1 là Hoàng Thùy Anh đến từ Hà Nội, Á hậu 2 là Nguyễn Thu Hằng, đến từ Lạng Sơn.",REF,"Mis Sea Islands VietNam là một cuộc thi sắc đẹp ở Việt Nam, không phải ở Trung Quốc."
160,185,186,"Hoa hậu Biển Đảo Việt Nam (Tiếng Anh: Miss Sea Islands Vietnam), tên cũ là Hoa hậu Biển Việt Nam (Tiếng Anh: Miss Sea Vietnam) và Hoa hậu Biển Việt Nam Toàn cầu (Tiếng Anh: Miss Sea Vietnam Global) là một cuộc thi sắc đẹp mới tại Việt Nam nhằm tôn vinh vẻ đẹp người phụ nữ Việt Nam gắn với hình ảnh thiên nhiên của biển đảo quê hương và chọn ra gương mặt đại diện cho vẻ đẹp biển đảo Việt Nam, cổ vũ lòng yêu nước và truyền cảm hứng đến muôn triệu người Việt. 
Đương kim Hoa hậu Biển Đảo Việt Nam 2022 là Đinh Như Phương đến từ Quảng Bình, Á hậu 1 là Hoàng Thùy Anh đến từ Hà Nội, Á hậu 2 là Nguyễn Thu Hằng, đến từ Lạng Sơn. 
Sáng ngày 20 tháng 4 năm 2016, ông Lý Minh Tuấn, Trưởng Ban tổ chức công bố cuộc thi Hoa hậu Biển Việt Nam 2016. Cuộc thi được Bộ Văn hóa, Thể thao và Du lịch cấp giấy phép và do Công ty Cổ phần Thiết kế và Đào tạo Phương Nam phối hợp với UBND tỉnh Quảng Ninh và Báo điện tử VTV tổ chức. Tối ngày 21 tháng 5 năm 2016, đên chung kết diễn ra với chiến thắng thuộc về cô Phạm Thùy Trang, 21 tuổi, đến từ Hòa Bình. ","Á hậu 1, Á hậu 2 và đương kim của cuộc thi Hoa hậu biển đảo Việt Nam 2022 lần lượt là Hoàng Thùy Anh, Nguyễn Thu Hằng và Đinh Như Phương; Cuộc thi được cấp phép bởi Bộ Văn hóa, Thể thao và Du lịch, chi phí để cấp giấy phép cho cuộc thi là 5 tỷ đồng.","Đương kim Hoa hậu Biển Đảo Việt Nam 2022 là Đinh Như Phương đến từ Quảng Bình, Á hậu 1 là Hoàng Thùy Anh đến từ Hà Nội, Á hậu 2 là Nguyễn Thu Hằng, đến từ Lạng Sơn. Cuộc thi được Bộ Văn hóa, Thể thao và Du lịch cấp giấy phép và do Công ty Cổ phần Thiết kế và Đào tạo Phương Nam phối hợp với UBND tỉnh Quảng Ninh và Báo điện tử VTV tổ chức.",NEI,Không có thông tin nào cho biết chi phí để cấp giấy phép cho cuộc thi Hoa hậu biển đảo Việt Nam 2022 là bao nhiêu.
161,186,187,"Hoa hậu Bãi biển (Miss World Beach Beauty) là một giải phụ của cuộc thi Hoa hậu Thế giới. Thí sinh chiến thắng giải Hoa hậu Bãi biển sẽ được lọt thẳng vào Top Bán kết của Miss World. Giải Hoa hậu Bãi biển bắt đầu được tổ chức từ năm 2003 thay thế cho phần thi áo tắm thông thường, mang đến cho tất cả các thí sinh tham dự cuộc thi cơ hội được tiến thẳng vào đêm chung kết. 
Từ năm 2015, cuộc thi Hoa hậu Thế giới chính thức loại bỏ phần thi áo tắm và phần thi Hoa hậu Bãi biển đã ngừng tổ chức. Tới năm 2021, các thí sinh được tham gia phần chụp ảnh với trang phục áo tắm nhưng đây chỉ là hoạt động bên lề và sẽ không tính điểm. 
Tất cả các thí sinh tham dự Hoa hậu Thế giới đều được tham dự giải hoa hậu Bãi biển. Sau đó, Ban giám khảo sẽ chọn lựa ra top 15 hoặc 20 thí sinh có thân hình đẹp nhất. Tiếp đến, ban giám khảo sẽ chọn ra top 5, các á hậu và cuối cùng là Hoa hậu Bãi biển. ","Hoa Hậu Bãi biển là một giải thưởng phụ của cuộc thi Hoa Hậu Thế giới, người có được giải thưởng này sẽ dành được tấm vé vào top bán kết của Miss World.",Hoa hậu Bãi biển (Miss World Beach Beauty) là một giải phụ của cuộc thi Hoa hậu Thế giới. Thí sinh chiến thắng giải Hoa hậu Bãi biển sẽ được lọt thẳng vào Top Bán kết của Miss World.,SUP,"Hoa hậu Bãi biển (Miss World Beach Beauty) là một hạng mục phụ trong cuộc thi Hoa hậu Thế giới, người chiến thắng cuộc thi này sẽ được đi thẳng vào vòng bán kết của cuộc thi Miss World."
162,187,188,"Hoa hậu Bãi biển (Miss World Beach Beauty) là một giải phụ của cuộc thi Hoa hậu Thế giới. Thí sinh chiến thắng giải Hoa hậu Bãi biển sẽ được lọt thẳng vào Top Bán kết của Miss World. Giải Hoa hậu Bãi biển bắt đầu được tổ chức từ năm 2003 thay thế cho phần thi áo tắm thông thường, mang đến cho tất cả các thí sinh tham dự cuộc thi cơ hội được tiến thẳng vào đêm chung kết. 
Từ năm 2015, cuộc thi Hoa hậu Thế giới chính thức loại bỏ phần thi áo tắm và phần thi Hoa hậu Bãi biển đã ngừng tổ chức. Tới năm 2021, các thí sinh được tham gia phần chụp ảnh với trang phục áo tắm nhưng đây chỉ là hoạt động bên lề và sẽ không tính điểm. 
Tất cả các thí sinh tham dự Hoa hậu Thế giới đều được tham dự giải hoa hậu Bãi biển. Sau đó, Ban giám khảo sẽ chọn lựa ra top 15 hoặc 20 thí sinh có thân hình đẹp nhất. Tiếp đến, ban giám khảo sẽ chọn ra top 5, các á hậu và cuối cùng là Hoa hậu Bãi biển. ","Người giành chiến thắng giải Hoa hậu bãi biển sẽ được vào trực tiếp vòng bán kết Miss World, giải này được tạo ra từ năm 2005 nhằm giúp các thí sinh có cơ hội tiến thẳng vào vòng chung kết Miss World.","Thí sinh chiến thắng giải Hoa hậu Bãi biển sẽ được lọt thẳng vào Top Bán kết của Miss World. Giải Hoa hậu Bãi biển bắt đầu được tổ chức từ năm 2003 thay thế cho phần thi áo tắm thông thường, mang đến cho tất cả các thí sinh tham dự cuộc thi cơ hội được tiến thẳng vào đêm chung kết.",REF,"Giải thưởng Hoa Hậu bãi biển được tạo ra từ năm 2003, không phải năm 2005."
163,188,189,"Hoa hậu Bãi biển (Miss World Beach Beauty) là một giải phụ của cuộc thi Hoa hậu Thế giới. Thí sinh chiến thắng giải Hoa hậu Bãi biển sẽ được lọt thẳng vào Top Bán kết của Miss World. Giải Hoa hậu Bãi biển bắt đầu được tổ chức từ năm 2003 thay thế cho phần thi áo tắm thông thường, mang đến cho tất cả các thí sinh tham dự cuộc thi cơ hội được tiến thẳng vào đêm chung kết. 
Từ năm 2015, cuộc thi Hoa hậu Thế giới chính thức loại bỏ phần thi áo tắm và phần thi Hoa hậu Bãi biển đã ngừng tổ chức. Tới năm 2021, các thí sinh được tham gia phần chụp ảnh với trang phục áo tắm nhưng đây chỉ là hoạt động bên lề và sẽ không tính điểm. 
Tất cả các thí sinh tham dự Hoa hậu Thế giới đều được tham dự giải hoa hậu Bãi biển. Sau đó, Ban giám khảo sẽ chọn lựa ra top 15 hoặc 20 thí sinh có thân hình đẹp nhất. Tiếp đến, ban giám khảo sẽ chọn ra top 5, các á hậu và cuối cùng là Hoa hậu Bãi biển. ","Người giành được giải Hoa hậu Bãi biển sẽ nhận được khoản tiền thưởng 5 tỷ VND, đồng thời được đi thẳng tới vòng bán kết của Miss World; đây là cuộc thi được bắt đầu từ năm 2003 và thay thế cho tiết mục thi áo tắm thông thường.","Thí sinh chiến thắng giải Hoa hậu Bãi biển sẽ được lọt thẳng vào Top Bán kết của Miss World. Giải Hoa hậu Bãi biển bắt đầu được tổ chức từ năm 2003 thay thế cho phần thi áo tắm thông thường, mang đến cho tất cả các thí sinh tham dự cuộc thi cơ hội được tiến thẳng vào đêm chung kết.",NEI,"Mặc dù có thông tin cho rằng người giành được giải này sẽ được đi thẳng tới vòng bán kết của Miss World, tuy nhiên không rõ liệu họ có nhận được tiền thưởng hay không cũng như khoản tiền thưởng là bao nhiêu."
164,189,190,Hoa hậu Canada là một cuộc thi sắc đẹp dành cho phụ nữ ở Canada. Nó được thành lập tại Hamilton vào năm 1946. Không có cuộc thi nào được diễn ra từ năm 1993 đến năm 2008. Cuộc thi đã được mua bản quyền lại vào năm 2009 bởi một tổ chức Québec tổ chức này đã sản xuất cuộc thi với tên gọi cho đến ngày nay. ,"Nước Canada có một cuộc thi sắc đẹp tên là ""Hoa hậu Canada"", cuộc thi này thuộc bản quyền bởi một tổ chức có tên là Québec.",Hoa hậu Canada là một cuộc thi sắc đẹp dành cho phụ nữ ở Canada. Cuộc thi đã được mua bản quyền lại vào năm 2009 bởi một tổ chức Québec tổ chức này đã sản xuất cuộc thi với tên gọi cho đến ngày nay.,SUP,Hoa hậu Canada là cuộc thi sắc đẹp dành cho phụ nữ tại Canada. Tổ chức Québec đã mua lại bản quyền cuộc thi vào năm 2009 và tiếp tục sản xuất và tổ chức nó với tên gọi hiện tại từ đó đến nay.
165,190,191,Hoa hậu Canada là một cuộc thi sắc đẹp dành cho phụ nữ ở Canada. Nó được thành lập tại Hamilton vào năm 1946. Không có cuộc thi nào được diễn ra từ năm 1993 đến năm 2008. Cuộc thi đã được mua bản quyền lại vào năm 2009 bởi một tổ chức Québec tổ chức này đã sản xuất cuộc thi với tên gọi cho đến ngày nay. ,"Cho đến năm 2008, ở Canada vẫn chưa có một cuộc thi hoa hậu chính thức nào; đến năm 2009, cuộc thi đầu tiên mới được tổ chức và nó có tên gọi là ""Hoa hậu hoàn vũ Canada"".",Hoa hậu Canada là một cuộc thi sắc đẹp dành cho phụ nữ ở Canada. Không có cuộc thi nào được diễn ra từ năm 1993 đến năm 2008. Cuộc thi đã được mua bản quyền lại vào năm 2009 bởi một tổ chức Québec tổ chức này đã sản xuất cuộc thi với tên gọi cho đến ngày nay.,REF,"Tên gọi của cuộc thi hoa hậu đầu tiên được tổ chức tại Canada có tên là ""Hoa hậu Canada"", không phải ""Hoa hậu hoàn vũ Canada""."
166,191,192,Hoa hậu Canada là một cuộc thi sắc đẹp dành cho phụ nữ ở Canada. Nó được thành lập tại Hamilton vào năm 1946. Không có cuộc thi nào được diễn ra từ năm 1993 đến năm 2008. Cuộc thi đã được mua bản quyền lại vào năm 2009 bởi một tổ chức Québec tổ chức này đã sản xuất cuộc thi với tên gọi cho đến ngày nay. ,"Không có cuộc thi ""Hoa hậu Canada"" nào được tổ chức trong giai đoạn từ năm 1993 đến 2008; mãi cho tới năm 2009, cuộc thi mới được một tổ chức mua lại bản quyền với giá 10 tỷ đô la và mới bắt đầu tổ chức lại cuộc thi.",Hoa hậu Canada là một cuộc thi sắc đẹp dành cho phụ nữ ở Canada. Không có cuộc thi nào được diễn ra từ năm 1993 đến năm 2008. Cuộc thi đã được mua bản quyền lại vào năm 2009 bởi một tổ chức Québec tổ chức này đã sản xuất cuộc thi với tên gọi cho đến ngày nay.,NEI,"Mặc dù cuộc thi thực sự đã được tổ chức lại vào năm 2009 nhờ được mua lại bản quyền, tuy nhiên không có thông tin về giá bản quyền của cuộc thi là bao nhiêu."
167,192,193,"Hoa hậu Chuyển giới Quốc tế 2022 là cuộc thi Hoa hậu Chuyển giới Quốc tế lần thứ 16 được tổ chức tại Pattaya, Thái Lan vào ngày 25 tháng 6 năm 2022. Hoa hậu Chuyển giới Quốc tế 2020 - Valentina Fluchaire đến từ Mexico đã trao lại vương miện cho người kế nhiệm Fuschia Anne Ravena đến từ Philippines. ","Valentina Fluchaire, người đã đoạt giải hoa hậu Chuyển giới Quốc tế 2020, đã truyền lại chiếc vương miện cho người kế nhiệm tiếp theo tên là Fuschia Anne Ravena trong cuộc thi Hoa hậu Chuyển giới Quốc tế 2022.","Hoa hậu Chuyển giới Quốc tế 2022 là cuộc thi Hoa hậu Chuyển giới Quốc tế lần thứ 16 được tổ chức tại Pattaya, Thái Lan vào ngày 25 tháng 6 năm 2022. Hoa hậu Chuyển giới Quốc tế 2020 - Valentina Fluchaire đến từ Mexico đã trao lại vương miện cho người kế nhiệm Fuschia Anne Ravena đến từ Philippines.",SUP,"Cuộc thi Hoa hậu Chuyển giới Quốc tế 2022 là lần thứ 16, diễn ra tại Pattaya, Thái Lan vào ngày 25 tháng 6 năm 2022. Valentina Fluchaire, Hoa hậu Chuyển giới Quốc tế 2020 từ Mexico, đã truyền lại vương miện cho người kế nhiệm Fuschia Anne Ravena từ Philippines."
